Nume clasa statistica:,serii zilnice
Observatii despre clasa statistica:,
Nota despre clasa statistica:, serii disponibile pentru perioada ianuarie 1998 - iunie 2005
Metodologie:,

Data;şiling austriac (ROL) CURSROLZ_ATS;dolar australian (ROL) CURSROLZ_AUD;franc belgian (ROL) CURSROLZ_BEF;dolar canadian (ROL) CURSROLZ_CAD;franc elveţian (ROL) CURSROLZ_CHF;coroană cehă (ROL) CURSROLZ_CZK;marcă germană (ROL) CURSROLZ_DEM;coroană daneză (ROL) CURSROLZ_DKK;liră egipteană (ROL) CURSROLZ_EGP;peseta spaniolă (ROL) CURSROLZ_ESP;EURO (ROL) CURSROLZ_EUR;marcă finlandeză (ROL) CURSROLZ_FIM;franc francez (ROL) CURSROLZ_FRF;liră sterlină (ROL) CURSROLZ_GBP;drahmă grecescă (ROL) CURSROLZ_GRD;forint unguresc (ROL) CURSROLZ_HUF;liră irlandeză (ROL) CURSROLZ_IEP;liră italiană (ROL) CURSROLZ_ITL;yen japonez (ROL) CURSROLZ_JPY;leu moldovenesc (ROL) CURSROLZ_MDL;gulden olandez (ROL) CURSROLZ_NLG;coroană norvrgiană (ROL) CURSROLZ_NOK;zlot polonez (ROL) CURSROLZ_PLN;escudos portughez (ROL) CURSROLZ_PTE;coroană suedeză (ROL) CURSROLZ_SEK;liră turcescă (ROL) CURSROLZ_TRL;noua liră turcească (ROL) CURSROLZ_TRY;dolar SUA (ROL) CURSROLZ_USD;gram aur (ROL) CURSROLZ_XAU;DST (ROL) CURSROLZ_XDR;ECU (ROL) CURSROLZ_XEU
29.06.2005;-;22797;-;24236;23315;1201;-;4839;5162;-;36050;-;-;54247;-;146;-;-;270,95;2366;-;4556;8888;-;3823;-;22163;29891;418032;43613;-
28.06.2005;-;22913;-;24194;23339;1202;-;4839;5147;-;36050;-;-;54243;-;145;-;-;271,23;2353;-;4531;8868;-;3838;-;22052;29809;419072;43510;-
27.06.2005;-;22798;-;24020;23412;1205;-;4846;5119;-;36095;-;-;54286;-;146;-;-;271,52;2374;-;4551;8946;-;3841;-;21960;29687;419359;43710;-
24.06.2005;-;23172;-;24273;23471;1208;-;4852;5167;-;36138;-;-;54540;-;146;-;-;274,14;2377;-;4534;8952;-;3839;-;22088;29939;426739;43846;-
23.06.2005;-;23081;-;24179;23433;1212;-;4846;5148;-;36091;-;-;54342;-;146;-;-;274,52;2367;-;4558;8989;-;3853;-;21991;29849;419455;43674;-
22.06.2005;-;23124;-;24123;23468;1211;-;4854;5139;-;36149;-;-;54164;-;146;-;-;273,85;2377;-;4600;8935;-;3902;-;22005;29787;418666;43729;-
21.06.2005;-;23144;-;24135;23441;1208;-;4856;5165;-;36163;-;-;54393;-;146;-;-;273,64;2385;-;4608;8937;-;3905;-;21898;29935;417531;43546;-
20.06.2005;-;23033;-;24003;23408;1204;-;4856;5102;-;36155;-;-;54027;-;146;-;-;271,73;2385;-;4596;8847;-;3915;-;21780;29566;418847;43583;-
17.06.2005;-;23043;-;24072;23417;1209;-;4856;5142;-;36150;-;-;54345;-;146;-;-;273,43;2385;-;4591;8920;-;3903;-;21880;29811;417875;43716;-
16.06.2005;-;22958;-;24119;23501;1208;-;4860;5153;-;36172;-;-;54369;-;146;-;-;273,31;2386;-;4598;8935;-;3902;-;21842;29856;414531;43753;-
15.06.2005;-;22925;-;23992;23495;1208;-;4856;5170;-;36143;-;-;54236;-;145;-;-;274,11;2369;-;4588;8959;-;3906;-;21738;30000;411433;43681;-
14.06.2005;-;22836;-;23730;23474;1205;-;4857;5140;-;36145;-;-;53936;-;145;-;-;272,69;2384;-;4593;8941;-;3894;-;21706;29793;408862;43735;-
13.06.2005;-;22833;-;23873;23507;1206;-;4860;5176;-;36160;-;-;54107;-;145;-;-;274,69;2335;-;4617;8975;-;3910;-;21727;30012;410852;43559;-
10.06.2005;-;22674;-;23524;23569;1205;-;4854;5095;-;36138;-;-;53945;-;145;-;-;275,00;2334;-;4609;8973;-;3917;-;21731;29551;401748;43513;-
09.06.2005;-;22660;-;23534;23557;1205;-;4852;5095;-;36123;-;-;53879;-;144;-;-;275,04;2333;-;4561;8935;-;3931;-;21684;29533;402144;43358;-
08.06.2005;-;22550;-;23527;23580;1200;-;4858;5062;-;36160;-;-;53882;-;144;-;-;274,43;2335;-;4570;8880;-;3954;-;21443;29328;401117;43502;-
07.06.2005;-;22592;-;23643;23648;1203;-;4863;5072;-;36193;-;-;53855;-;145;-;-;275,99;2343;-;4599;8912;-;3964;-;21641;29411;403417;43483;-
